key,fr
onboarding.trackers.threshold.out,Hors combat
onboarding.start,Commencer
onboarding.customRules,Règles personnalisées
onboarding.defineRules,Définir les règles à la main
onboarding.system.title,Choisir une mécanique ou une famille
onboarding.edition.title,Choisir une édition
onboarding.initiative.title,Choisir un style d’initiative
onboarding.support.official,Officiel
onboarding.support.commonVariant,Variante courante
onboarding.support.home,Maison / générique
onboarding.profile.planned,À venir : profil non implémenté
onboarding.quickRolls.title,Choisir des jets rapides
onboarding.quickRolls.help,Cadence lancera les dés ou cartes sélectionnés ; la table interprète les effets.
onboarding.summary.title,Votre table est prête
onboarding.summary.help,Voici ce que Cadence prépare pour votre première scène.
onboarding.summary.ready,Cadence prépare
onboarding.summary.atHand,À portée de main
onboarding.summary.yourCall,Vous gardez la main
onboarding.progress,Étape {current} sur {total}
onboarding.back,Retour
onboarding.next,Étape suivante
onboarding.startChoice.help,Comment souhaitez-vous découvrir votre première scène ?
onboarding.startChoice.tutorial,Suivre le tutoriel
onboarding.startChoice.tutorialHelp,Un parcours guidé directement dans une scène vierge.
onboarding.startChoice.direct,Commencer directement
onboarding.apply,Appliquer ces règles
onboarding.advanced,Accéder aux règles avancées
onboarding.skip,Passer la configuration
onboarding.skipHelp,Cadence utilisera les règles courantes de D&D 5e.
onboarding.resetWarning.title,Les règles actuelles seront remplacées
onboarding.resetWarning.body,"Ce parcours repart du profil D&D 5e. Si vous le validez, les règles actuelles et les options avancées absentes du questionnaire seront réinitialisées."
onboarding.resetWarning.cancel,Conserver les règles actuelles
onboarding.question.organization.eyebrow,Déroulement des rounds
onboarding.question.organization.title,Comment les personnages prennent-ils leur tour ?
onboarding.question.organization.help,Choisissez la structure utilisée en combat et dans les scènes d’action.
onboarding.answer.organization.classic,Initiative classique
onboarding.answer.organization.classicHelp,"À chaque round, chacun joue une fois dans l’ordre d’initiative."
onboarding.answer.organization.flexible,Tours libres
onboarding.answer.organization.flexibleHelp,Le MJ ou les joueurs choisissent qui agit ensuite.
onboarding.answer.organization.phases,Rounds en plusieurs passes
onboarding.answer.organization.phasesHelp,Chaque round est découpé en plusieurs phases d’action.
onboarding.question.surprise.switch,Round de surprise
onboarding.question.surprise.eyebrow,Surprise
onboarding.question.surprise.title,Utiliser un round de surprise séparé ?
onboarding.question.surprise.help,Les personnages surpris sont normalement gérés dans le premier round.
onboarding.answer.yesDedicatedRound,Oui
onboarding.answer.yesDedicatedRoundHelp,La surprise occupe un round séparé.
onboarding.answer.noDedicatedRound,Non
onboarding.answer.noDedicatedRoundHelp,La surprise est gérée dans le premier round.
onboarding.question.flexibleInitiative.eyebrow,Initiative en tours libres
onboarding.question.flexibleInitiative.title,Conserver un ordre d’initiative indicatif ?
onboarding.question.flexibleInitiative.help,L’ordre reste affiché mais n’impose pas qui joue ensuite.
onboarding.answer.flexibleInitiative.yes,"Oui, garder l’initiative"
onboarding.answer.flexibleInitiative.yesHelp,Les scores aident le MJ à distribuer les tours.
onboarding.answer.flexibleInitiative.no,"Non, jouer sans initiative"
onboarding.answer.flexibleInitiative.noHelp,Le groupe choisit librement le prochain personnage actif.
onboarding.question.phaseType.eyebrow,Gestion des passes
onboarding.question.phaseType.title,Comment attribuer les actions dans chaque passe ?
onboarding.question.phaseType.help,Utilisez le score d’initiative ou cochez les passes autorisées sur chaque fiche.
onboarding.answer.phaseType.automatic,Selon le score d’initiative
onboarding.answer.phaseType.automaticHelp,Le score baisse à chaque passe et détermine qui peut encore agir.
onboarding.answer.phaseType.checked,Selon les passes cochées
onboarding.answer.phaseType.checkedHelp,Chaque fiche indique les passes pendant lesquelles le personnage peut agir.
onboarding.question.phase.count,Nombre de passes par round
onboarding.question.phase.decrement,Initiative perdue après chaque passe
onboarding.question.multiple.compact,Actions multiples
onboarding.question.declaration.compact,Déclaration puis résolution
onboarding.question.multiple.eyebrow,Actions par round
onboarding.question.multiple.title,Qui peut agir plusieurs fois ?
onboarding.question.multiple.help,Autorisez des actions supplémentaires ou limitez chaque personnage à une action.
onboarding.answer.multiple.never,Une action par round
onboarding.answer.multiple.neverHelp,Chaque personnage agit une seule fois.
onboarding.answer.multiple.elites,Plusieurs actions pour les Élites
onboarding.answer.multiple.elitesHelp,Seuls les profils Élites disposent de créneaux supplémentaires.
onboarding.answer.multiple.everyone,Plusieurs actions pour tous
onboarding.answer.multiple.everyoneHelp,Tous les personnages peuvent recevoir plusieurs créneaux.
onboarding.answer.multiple.automatic,Dépenser de l’initiative pour agir
onboarding.answer.multiple.automaticHelp,Chaque action réduit le score d’initiative et recalcule l’ordre.
onboarding.answer.multiple.automaticUnavailable,Coût d’initiative — ordre décroissant sans déclaration uniquement
onboarding.answer.multiple.automaticUnavailableFlexible,Coût d’initiative — incompatible avec les tours libres
onboarding.question.reroll.eyebrow,Début du round
onboarding.question.reroll.title,Redéterminer l’initiative à chaque round ?
onboarding.question.reroll.help,Demandez une nouvelle saisie ou un nouveau jet au début de chaque round.
onboarding.answer.reroll.yes,"Oui, nouvelle initiative"
onboarding.answer.reroll.yesHelp,Les scores sont redéterminés au début de chaque round.
onboarding.answer.reroll.no,"Non, conserver les scores"
onboarding.answer.reroll.noHelp,Les scores restent identiques pendant toute la scène.
onboarding.question.initiativeFormat.eyebrow,Format de l’initiative
onboarding.question.initiativeFormat.title,Quel type d’initiative utiliser ?
onboarding.question.initiativeFormat.help,Choisissez un score numérique ou une liste de valeurs ordonnées.
onboarding.answer.initiativeFormat.desc,Score : le plus élevé agit d’abord
onboarding.answer.initiativeFormat.descHelp,Format standard de D&D 5e et de nombreux jeux d20.
onboarding.answer.initiativeFormat.asc,Score : le plus faible agit d’abord
onboarding.answer.initiativeFormat.ascHelp,Pour les systèmes où une valeur basse représente une action rapide.
onboarding.answer.initiativeFormat.labels,Initiative par libellés
onboarding.answer.initiativeFormat.labelsHelp,"L’ordre utilise des termes, des postures ou des cartes plutôt qu’un nombre."
onboarding.question.labels.eyebrow,Valeurs d’initiative
onboarding.question.labels.title,Quelle liste de libellés utiliser ?
onboarding.question.labels.help,La liste pourra être modifiée dans les règles de campagne.
onboarding.answer.labels.fastSlow,Rapide / Lent
onboarding.answer.labels.fastSlowHelp,Deux fenêtres d’action : Rapide puis Lent.
onboarding.answer.labels.cards,Cartes classiques
onboarding.answer.labels.cardsHelp,Les valeurs et couleurs d’un jeu de cartes déterminent l’ordre.
onboarding.answer.labels.tarot,Tarot
onboarding.answer.labels.tarotHelp,Les atouts et les familles déterminent l’ordre.
onboarding.question.tiebreaker.eyebrow,Égalités d’initiative
onboarding.question.tiebreaker.title,Ajouter un critère de départage ?
onboarding.question.tiebreaker.help,Ce champ départage les personnages qui obtiennent la même initiative.
onboarding.answer.tiebreaker.yes,Oui
onboarding.answer.tiebreaker.yesHelp,Ajoute un champ secondaire sur chaque fiche.
onboarding.answer.tiebreaker.no,Non
onboarding.answer.tiebreaker.noHelp,Les égalités sont résolues par la règle de simultanéité et l’ordre des catégories.
onboarding.question.tiebreakerLabel.eyebrow,Critère secondaire
onboarding.question.tiebreakerLabel.title,Nommer le critère de départage
onboarding.question.tiebreakerLabel.help,"Exemples : Dextérité, Vitesse, Réflexes."
onboarding.question.tiebreakerLabel.input,Nom du critère secondaire
onboarding.question.initiativeSource.eyebrow,Jet d’initiative
onboarding.question.initiativeSource.title,Comment déterminer l’initiative ?
onboarding.question.initiativeSource.help,Le dé et les modificateurs seront configurés dans les outils de tirage.
onboarding.answer.initiativeSource.fixed,Saisie manuelle
onboarding.answer.initiativeSource.fixedHelp,Le score est saisi au lancement de la scène.
onboarding.answer.initiativeSource.roll,Jet de dés
onboarding.answer.initiativeSource.rollHelp,Le lanceur d’initiative utilisera le tirage choisi pour la campagne.
onboarding.random.eyebrow,Tirages de la campagne
onboarding.random.title,Quels jets veux-tu préparer ?
onboarding.random.help,Crée les jets qui seront disponibles dès la première scène. Le mode Essentiel suffit pour les jets courants et Toutes les options ouvre la boîte à outils complète sans code.
onboarding.random.initiativeRoll,Jet utilisé pour l’initiative
onboarding.random.initiativeMissing,Crée et enregistre d’abord un jet
onboarding.random.initiativeHelp,Ce jet sera proposé directement lors de la saisie de l’initiative.
onboarding.random.initiativeRequired,Tu as choisi une initiative lancée aux dés. Crée puis enregistre au moins un jet pour continuer.
onboarding.random.later,Les jets autres que l’initiative sont facultatifs et pourront être ajoutés ou modifiés plus tard dans les règles de campagne.
onboarding.question.summary.eyebrow,Récapitulatif
onboarding.question.summary.title,Vérifier les règles
onboarding.question.summary.help,Confirmez ces choix avant de les appliquer à la campagne.
onboarding.summary.surpriseRound,Round de surprise dédié
onboarding.summary.randomInitiative,Initiative déterminée par un jet
onboarding.toolbox.title,Jets de dés et tirages
onboarding.toolbox.help,"Après la création, activez les outils voulus dans l’onglet Tirages : initiative seule, jets courants ou kit complet."
onboarding.toolbox.level.initiative,Initiative seule
onboarding.toolbox.level.essentials,Essentiels
onboarding.toolbox.level.complete,Kit complet
sceneTutorial.progress,Étape {current} sur {total}
sceneTutorial.add.title,Créez votre premier personnage
sceneTutorial.add.body,Utilisez le vrai bouton Ajouter mis en évidence en bas de la scène.
sceneTutorial.choose.title,Choisissez votre point de départ
sceneTutorial.choose.body,"Fiche vierge permet de tout construire ; un modèle fournit une base réutilisable. Choisissez aussi l’initiative ou la réserve, puis utilisez Créer."
sceneTutorial.identity.title,Donnez une identité à la fiche
sceneTutorial.identity.body,"Le nom et le Type sont essentiels. Le Type pilote les comportements de Cadence ; la description, le rôle et l’initiative complètent la fiche."
sceneTutorial.quickInfo.title,Ajoutez les informations rapides
sceneTutorial.quickInfo.body,"Ces lignes affichent les valeurs souvent consultées : défense, perception, mouvement ou toute donnée utile à votre table."
sceneTutorial.indicator.title,Ajoutez un indicateur
sceneTutorial.indicator.body,Faites défiler jusqu’à Indicateurs puis utilisez le vrai bouton Ajouter un indicateur.
sceneTutorial.configure.title,Choisissez son fonctionnement
sceneTutorial.configure.body,"Utilisez un modèle prêt à l’emploi ou choisissez Personnalisé pour créer une barre, des puces, un compteur, une horloge ou des cases."
sceneTutorial.save.title,Relisez puis validez la fiche
sceneTutorial.save.body,Vérifiez les valeurs et utilisez le vrai bouton de validation de la fiche.
sceneTutorial.done.title,Votre première fiche est prête
sceneTutorial.done.body,Vous pouvez maintenant ajouter d’autres participants ou lancer la scène. Les indicateurs resteront accessibles directement sur la fiche.
sceneTutorial.useInterface,Utilisez le contrôle mis en évidence dans Cadence.
sceneTutorial.finish,Terminer
sceneTutorial.close,Fermer
sceneTutorial.skip,Ignorer le tutoriel
rules.profile.title,Profil de campagne
rules.profile.change,Modifier le profil
rules.profile.help,Choisis un profil pour remplacer explicitement les réglages avancés d’initiative.
rules.profile.system,Système
rules.profile.none,Choisir un système
rules.profile.edition,Édition
rules.profile.initiative,Initiative
rules.profile.quickRolls,Jets rapides
rules.profile.warning,Appliquer ce profil remplace les réglages avancés d’initiative. Les jets rapides sélectionnés sont ajoutés sans retirer les autres.
rules.profile.apply,Appliquer le profil
characterAdd.title,Ajouter un personnage
characterAdd.blank,Fiche vierge
characterAdd.template,Modèle
characterAdd.category,Catégorie
characterAdd.model,Modèle
characterAdd.emptyCategory,"Cette catégorie existe dans le Hub, mais ne contient encore aucun modèle."
characterAdd.placement.init,En initiative
characterAdd.placement.pending,À lancer au début du combat
characterAdd.placement.reserve,En réserve
characterAdd.initiative,Initiative
characterAdd.help,La fiche s'ouvrira ensuite pour ajuster les détails avant de continuer la scène.
menu.title,Menu
menu.brandMeta,Menu · v{version}
menu.toggleTheme,Basculer thème clair ou sombre
menu.returnHub,Retour au hub de campagne
menu.addCharacter,Ajouter un personnage
menu.duplicateCharacter,Dupliquer un personnage
menu.enterInitiatives,Saisir les initiatives
menu.characters.duplicateTitle,Dupliquer un personnage
menu.characters.empty,Aucun personnage dans cette scène.
menu.characters.inInitiative,initiative
menu.characters.inReserve,réserve
menu.characters.duplicateAction,Dupliquer
menu.characters.duplicateAria,Dupliquer {name}
menu.characters.validate,Valider
menu.sceneElements.title,Éléments de scène
menu.sceneElements.editIndicator,Modifier l’indicateur
menu.sceneElements.activateIndicator,Activer un indicateur
menu.sceneElements.addStatus,Ajouter un état
menu.sceneElements.toggleIndicator,Activer ou désactiver l’indicateur de scène
menu.sceneElements.clearStatuses,Effacer les états de scène
menu.sceneNotes.title,Notes de scène
menu.sceneNotes.placeholder,"Ambiance, objectifs, éléments importants..."
menu.flow.title,Déroulé
menu.flow.returnPreparation,Retour à la préparation
menu.flow.resetTrackers,Réinitialiser les indicateurs
menu.flow.decreaseRound,Reculer d'un round
menu.flow.advanceRound,Avancer d'un round
menu.flow.rewindAutomations,Reculer les automatismes
menu.flow.advanceAutomations,Avancer les automatismes
menu.flow.roundAutomations,Appliquer les automatismes quand on avance ou recule le round
menu.flow.help,"Ces actions servent à corriger une scène. Pendant le jeu normal, utilise plutôt “Suivant”."
menu.restore.title,Restaurer
menu.indicator.defaultTimer,Minuteur
menu.indicator.defaultStopwatch,Chrono
menu.indicator.defaultScene,Indicateur de scène
menu.indicator.summary.timer,{name} - {value}
menu.indicator.summary.stopwatch,{name} - {value}
menu.indicator.summary.counter,{name} - {value}{threshold}
menu.indicator.summary.loop,{name} - {loops} boucle{suffix}{threshold}
menu.indicator.summary.thresholdOnly,{name} - {threshold}
menu.indicator.summary.ratio,{name} - {value} / {max}{threshold}
dialogs.sceneIndicator.title,Indicateur de scène
dialogs.sceneIndicator.name,Nom
dialogs.sceneIndicator.type,Type
dialogs.sceneIndicator.value,Valeur
dialogs.sceneIndicator.maximum,Maximum
dialogs.sceneIndicator.minutes,Minutes
dialogs.sceneIndicator.autoRound,avancer à chaque nouveau round
dialogs.sceneIndicator.clock,Horloge
dialogs.sceneIndicator.counter,Compteur
dialogs.sceneIndicator.stopwatch,Chronomètre
dialogs.sceneIndicator.timer,Minuteur
dialogs.sceneIndicator.placeholder,Menace
dialogs.sceneIndicator.prepHelp,Le temps démarrera avec Commencer.
dialogs.sceneIndicator.pause,Pause
dialogs.sceneIndicator.start,Démarrer
dialogs.sceneIndicator.reset,Remettre à zéro
dialogs.returnPreparation.title,Retour à la Préparation
dialogs.returnPreparation.help1,Choisis ce que Cadence doit nettoyer en revenant avant l'initiative.
dialogs.returnPreparation.resetTrackers,Réinitialiser aussi les indicateurs
dialogs.returnPreparation.endTemporaryEffects,Mettre fin aux effets temporaires
dialogs.returnPreparation.help2,"Si rien n’est coché, Cadence revient à la préparation sans toucher aux indicateurs ni aux effets."
dialogs.returnPreparation.confirm,Retour à la Préparation
dialogs.returnPreparation.cancel,Annuler
dialogs.templateSwitch.title,Un modèle est déjà ouvert.
dialogs.templateSwitch.help,Que faire des modifications en cours avant d’ouvrir l’autre modèle ?
dialogs.templateSwitch.stay,Rester ici
dialogs.templateSwitch.confirm,Valider et ouvrir
dialogs.templateSwitch.discard,Ouvrir sans enregistrer
dialogs.resetCadence.title,Réinitialiser Cadence
dialogs.resetCadence.help,Réinitialiser Cadence va supprimer toutes les scènes et tous les modèles locaux. Tu peux enregistrer une copie de la campagne avant de continuer.
dialogs.resetCadence.warning,Cette action vide la campagne active et renvoie vers le choix des règles de départ.
dialogs.resetCadence.saveCopy,Enregistrer une copie avant
dialogs.resetCadence.confirm,Réinitialiser Cadence
dialogs.resetCadence.copySaved,Copie enregistrée. Tu peux maintenant réinitialiser Cadence.
export.title,Exporter la campagne
export.help,"Vérifie le nom avant d'enregistrer. Si le navigateur le permet, Cadence ouvrira une fenêtre système pour choisir l'emplacement du fichier."
export.campaignName,Nom de campagne
export.defaultName,Campagne Cadence
export.saving,Enregistrement...
export.cancelled,Export annulé ou non confirmé par le navigateur.
export.unconfirmed,Le navigateur n'a pas confirmé l'export.
trackers.global.title,Indicateur de scène
trackers.global.templateLabel,Modèle d’indicateur de scène
trackers.global.visibleHeader,visible dans l’en-tête
trackers.global.defaultName,Menace
trackers.global.defaultTimer,Minuteur
trackers.global.defaultStopwatch,Chrono
trackers.global.realtimeLabel,Indicateur de scène
trackers.global.realtimePause,Mettre le temps en pause
trackers.global.realtimeResume,Reprendre le temps
trackers.global.realtimeLate,retard
trackers.global.mode,Type
trackers.global.mode.clock,Horloge
trackers.global.mode.counter,Compteur
trackers.global.mode.stopwatch,Chronomètre
trackers.global.mode.timer,Minuteur
trackers.global.value,Valeur
trackers.global.valueCurrent,Valeur actuelle
trackers.global.durationPrefix,durée 
trackers.global.segments,Segments
trackers.global.direction,Sens
trackers.global.direction.progression,Progression
trackers.global.direction.countdown,Countdown
trackers.global.advanceWhen,Quand avancer
trackers.global.trigger.manual,Manuel
trackers.global.trigger.round,Nouveau round
trackers.global.trigger.legacyPhase,Ancien réglage : nouvelle phase
trackers.global.trigger.legacyHelp,Ce réglage historique est conservé mais inactif. Les phases ne font plus avancer les horloges.
trackers.global.limit,Limite
trackers.global.limit.clamp,Bloquer
trackers.global.limit.overflow,Dépasser
trackers.global.limit.loop,Boucler
trackers.global.limit.restart,Redémarrer
trackers.global.loop.total,Total
trackers.global.loop.count,Boucles
trackers.global.timer.label,Fin du minuteur
trackers.global.timer.completeSound,Son à la fin
trackers.global.timer.elapsedHelp,Temps écoulé.
trackers.global.actions.pause,Pause
trackers.global.actions.resume,Reprendre
trackers.global.actions.start,Démarrer
trackers.global.actions.reset,Remettre à zéro
trackers.global.actions.validate,Valider
trackers.global.thresholds.summary,Seuils
trackers.global.thresholds.label,Seuils de l’indicateur de scène
trackers.global.thresholds.add,+ seuil
trackers.global.thresholds.placeholder,Texte affiché
trackers.global.thresholds.help.timer,Les seuils du minuteur lisent le cycle en cours ou le nombre de boucles si le minuteur boucle.
trackers.global.thresholds.help.stopwatch,"Pour un chronomètre, les seuils lisent le temps écoulé en minutes/secondes."
trackers.global.thresholds.help.counter,"Pour un compteur, les seuils lisent simplement la valeur courante."
trackers.global.thresholds.help.clock,"Pour une horloge, les seuils lisent le cycle en cours ou le nombre de boucles si elle boucle."
trackers.global.thresholds.color.neutral,Neutre
trackers.global.thresholds.color.green,Vert
trackers.global.thresholds.color.amber,Ambre
trackers.global.thresholds.color.red,Rouge
trackers.global.thresholds.color.blue,Bleu
trackers.global.thresholds.color.violet,Violet
trackers.global.thresholds.basis.fixed,Valeur
trackers.global.thresholds.basis.percent,%
trackers.global.thresholds.scope.current,Cycle en cours
trackers.global.thresholds.scope.loops,Nombre de boucles
trackers.global.thresholds.sound.label,Son
trackers.global.thresholds.sound.none,Aucun son
trackers.global.thresholds.sound.beep,Bip
trackers.global.thresholds.sound.chime,Carillon
trackers.global.thresholds.sound.alarm,Alerte
trackers.global.thresholds.sound.custom,Son personnalisé
trackers.global.thresholds.sound.test,Tester
trackers.global.thresholds.target.loop,cible : {value} boucle{suffix}
trackers.global.thresholds.target.percent,cible : {value}% restant ({target} s)
trackers.global.thresholds.target.fixed,cible : {target} s restants
trackers.global.unit.minute,minute
trackers.global.unit.minutes,minutes
trackers.global.unit.second,seconde
trackers.global.unit.seconds,secondes
trackers.step.label,Pas
trackers.step.edit,Modifier le pas
trackers.step.editCurrent,"Modifier le pas, actuellement {value}"
trackers.common.frozen,figé
trackers.common.freezeAutomation,Figer cet automatisme
trackers.common.unfreezeAutomation,Dégeler cet automatisme
trackers.common.toResolve,À résoudre
trackers.common.resetToZero,Relancer à 0
trackers.boxes.actionGroup,Action sur les cases
trackers.boxes.fill,Ajouter ou remplir les cases
trackers.boxes.empty,Retirer ou vider les cases
trackers.boxes.stepLabel,Nombre de clics par case
trackers.boxes.caseAria,{block} {line} case {index}
trackers.bar.newValue,Nouvelle valeur
trackers.bar.subtractValue,Valeur à soustraire
trackers.bar.addValue,Valeur à ajouter
trackers.bar.openValue,Saisir une nouvelle valeur pour {name}
trackers.bar.thresholdFallback,Seuil {value}
trackers.points.previousCycle,Reculer au cycle precedent
trackers.points.nextCycle,Avancer au cycle suivant
trackers.points.togglePoint,Basculer le point {value} de {name}
trackers.counter.defaultName,Compteur
trackers.counter.edit,Modifier {label}
trackers.counter.decrease,Diminuer {label}
trackers.counter.increase,Augmenter {label}
trackers.common.decrease,Diminuer {name}
trackers.common.increase,Augmenter {name}
status.add.title,Ajouter un état · {name}
status.defaultName,Nouveau
status.templateFallback,État
status.impact.field,Impact sur le personnage
status.impact.normal,Normal
status.impact.limited,Limité
status.impact.inactive,Inactif
status.duration,Durée
status.duration.custom,Perso
status.duration.customField,Durée personnalisée
status.color,Couleur
status.color.none,Aucune
status.tintParticipant,Teinter le personnage
status.tintScene,Teinter le fond de scène
status.advance.field,Évolution
status.advance.activation,Activation
status.advance.roundStart,Début du round
status.loop,renouveler en boucle
status.surprised.warning,Cet état s’appelle Surpris. Cadence utilise ce nom pour la surprise automatique ; vérifie que ses options correspondent bien à ce que tu veux.
initiativeCost.title,Coût d’initiative
initiativeCost.current,Initiative actuelle
initiativeCost.help,"Choisis le coût payé après l’action de {name}. Si l’initiative après coût est inférieure ou égale à {threshold}, aucun nouveau créneau n’est créé ce round."
initiativeCost.maxRule,Règle active : coût maximum {max} pour ce créneau.
initiativeCost.custom,Coût personnalisé
initiativeCost.preview,Nouveau créneau possible : {initiative} - {cost} = {next}.
initiativeCost.apply,Appliquer le coût
initiativeCost.endCharacterRound,Terminer son round
initiativeCost.defaultParticipant,ce personnage
initiativeAdjust.title,Ajuster l'initiative
initiativeAdjust.help,Modifie seulement l'initiative de {name} avant d'avancer. Les ticks du bouton Suivant se produisent normalement ; l'activation du même personnage reste bornée par la règle du round.
initiativeAdjust.defaultParticipant,ce participant
initiativeAdjust.new,Nouvelle initiative
initiativeAdjust.cost,Coût
initiativeAdjust.applyCost,Appliquer le coût
initiativeAdjust.validateNext,Valider puis suivant
initiativeAdjust.nextWithoutChange,Suivant sans modifier
declarations.title,Déclarer les actions
declarations.progress,{current}/{total}
declarations.noParticipant,Aucun participant
declarations.actions.attack,Attaque
declarations.actions.defense,Défense
declarations.actions.move,Mouvement
declarations.actions.support,Soutien
declarations.actions.other,Autre
declarations.back,Retour
declarations.launchResolution,Lancer la résolution
declarations.saveAction,Enregistrer l'action
scene.header.preparing,Préparer la scène
scene.header.declareActions,Déclarer les actions
scene.header.noParticipant,Aucun participant
scene.header.flexible,souple
scene.header.phases,phases
scene.header.declaration,déclaration
scene.header.preparation,Préparation
scene.header.clockToManage,Horloge à gérer
scene.header.simultaneousParticipants,Participants simultanés
scene.header.returnHubAria,Retour au Hub de campagne
scene.header.participantsInInitiative,{count} en initiative
scene.header.surprise,Surprise
scene.header.flexibleMode,Mode souple
scene.header.resolvedActions,Marquer les actions résolues
scene.header.flexibleChip,Souple
scene.status.inactive,Inactif
scene.status.limited,Limité
scene.status.active,Actif
scene.status.add,+ état
scene.statusMarks.inactive,Rend inactif
scene.statusMarks.limited,Rend limité
scene.badge.scene,Scène
scene.badge.preparation,Préparation
scene.badge.round,Round
scene.badge.surprise,Surprise
scene.badge.newRound,Nouveau round
scene.badge.phase,Phase {phase}
scene.next.start,Commencer
scene.next.enterInitiatives,Saisir les initiatives
scene.next.declareActions,Déclarer les actions
scene.next.newRound,Nouveau round
scene.next.flexibleChoose,Mode souple : choisir dans la liste
scene.next.resolveClock,Résoudre l’horloge
scene.next.nextPhase,Phase suivante
scene.next.noActiveParticipant,Aucun participant actif
scene.next.nextParticipant,Participant suivant
scene.bottom.enterInitiatives,Initiatives à saisir
scene.bottom.declare,Déclarer
scene.bottom.choose,Choisir
scene.bottom.newRound,Nouveau round - R{round}
scene.bottom.nextPhase,Suivant - P{phase}
scene.bottom.nextRound,Suivant - R{round}
initiative.groupAria,Initiative {initiative}
initiative.groupShort,Init
initiative.choose,À choisir
initiative.phase,Phase {phase}
initiative.phaseRethink,Initiatives à ressaisir pour ce nouveau round.
initiative.phaseEmpty,Aucun participant ne peut agir dans cette phase.
initiative.waitingInitiative,En attente d’initiative
initiative.outOfPhase,Hors phase
initiative.waitingNextRound,En attente du prochain round
initiative.actionsToResolve,Actions à résoudre
initiative.actionsResolved,Actions résolues
initiative.tiebreaker,Départage
initiative.leave,Quitter l’initiative
initiative.join,Rejoindre l’initiative
initiative.joinAction,Rejoindre
initiative.phases.active,Phases actives
initiative.quickEdit.aria,Modifier les initiatives
initiative.incompatible.title,Initiatives à corriger
initiative.incompatible.mode.labels,labels
initiative.incompatible.mode.numeric,valeurs numériques
initiative.incompatible.help,Cette scène utilise maintenant les {mode}. Ces initiatives ne correspondent plus : {names}.
initiative.incompatible.change,Changer les initiatives
initiative.incompatible.leave,Sortir de l’initiative
initiative.card.actionResolved,action résolue
initiative.card.actionResolvedUpper,Action résolue
initiative.card.actionResolvedWithCost,action résolue - coût {cost}
initiative.card.actionResolvedWithCostResult,action résolue - coût {cost} -> {result}
initiative.card.actionsCount,{count} actions
initiative.card.toResolve,À résoudre
initiative.card.noIndicator,Aucun indicateur
initiative.card.moveToReserve,Mettre en réserve
initiative.card.moveParticipantToReserve,Mettre {name} en réserve
initiative.card.undoResolved,Annuler l’action résolue
initiative.card.remainingActions,{count} actions restantes
initiative.card.markResolved,Marquer une action résolue
initiative.entry.title,Saisir les initiatives
initiative.entry.surpriseTitle,Préparer la surprise
initiative.entry.surprised,Surpris
